Item Name,Description,Price,Main Category,Sub Category
Chicken Noodle Soup,Classic homemade chicken soup with noodles,5.99,Appetizers,Soups
Caesar Salad,Fresh romaine lettuce with caesar dressing,7.99,Appetizers,Salads
Chicken Wings,Crispy buffalo wings with ranch dip,8.99,Appetizers,Finger Foods
Grilled Chicken Breast,Juicy grilled chicken with herbs,12.99,Main Course,Chicken
Beef Steak,Premium ribeye steak cooked to perfection,18.99,Main Course,Beef
Grilled Salmon,Fresh Atlantic salmon with lemon butter,16.99,Main Course,Seafood
Vegetable Stir Fry,Mixed vegetables in savory sauce,10.99,Main Course,Vegetarian
Chocolate Cake,Rich chocolate layer cake,6.99,Desserts,Cakes
Vanilla Ice Cream,Creamy vanilla ice cream,4.99,Desserts,Ice Cream
Coffee,Freshly brewed coffee,2.99,Beverages,Hot Drinks
Orange Juice,Fresh squeezed orange juice,3.99,Beverages,Cold Drinks
